"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6TfZXov5Cyz5hrV16LmraT","And Then There Was Peace","spotify:artist:5aCO7p9hAgkL2C6TCr93v5","Anton Fargau Petrini","spotify:album:2vt31oLkC783ZLd3LJCGBt","And Then There Was Peace","spotify:artist:5aCO7p9hAgkL2C6TCr93v5","Anton Fargau Petrini","2021-03-19","https://i.scdn.co/image/ab67616d0000b273da47169948eca068eb0eca98","1","2","152400","https://p.scdn.co/mp3-preview/a8aa28a60c1f1d06b86f91c58aca733351218e26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SE5752178418","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:7hpPCNhDZnQUwrO2dYdnyR","gandalf's fall ~ tolkien lofi","spotify:artist:6vHUuOIt6n6TjRfywPL6Tj","Tanoshi","spotify:album:1hQX6GqjHSYeUwAvptQzh2","gandalf's fall ~ tolkien lofi","spotify:artist:6vHUuOIt6n6TjRfywPL6Tj","Tanoshi","2022-05-20","https://i.scdn.co/image/ab67616d0000b273050faad223020147da3ed71c","1","1","107500","https://p.scdn.co/mp3-preview/305d0b3f449cb428efe12ae06c81bec0b99859be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QZHNB2219446","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:2p2K1OSRcRuZFmBrnqQt46","La alegria","spotify:artist:7dNg7OLrxcWU9cVe3sQoMV, spotify:artist:1XDkuk3pjmco8Mkd93Qxbu","Scott Rill, Yasmin Levy","spotify:album:1hIRGOqH8X8IVdL8KfiThE","La alegria","spotify:artist:7dNg7OLrxcWU9cVe3sQoMV, spotify:artist:1XDkuk3pjmco8Mkd93Qxbu","Scott Rill, Yasmin Levy","2020-11-11","https://i.scdn.co/image/ab67616d0000b27319e8f1d396041f3fdc1a53e3","1","1","173343","https://p.scdn.co/mp3-preview/b56c536fb6795c31cc67507ba2005920f79fccba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QZNWR2031217","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:29xF62NdWgHRZA6n75aOrK","Tijuana","spotify:artist:2VXLfW2EYO5KtZHCFQolnt","Elijah Blond","spotify:album:3sRlAG9vnIOpaaZuWJElY1","Tijuana","spotify:artist:2VXLfW2EYO5KtZHCFQolnt","Elijah Blond","2020-09-02","https://i.scdn.co/image/ab67616d0000b273697dfd22c64acca1bbe51a45","1","1","170396","https://p.scdn.co/mp3-preview/03a1e9c991c5d31c406abb58b586732ca8d2769e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","QZK6P2056771","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:2d1MywHy6FwKdzxFuSJnwl","Wrecked","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:2qjb5OwlllLLOmrueU08kG","Wrecked","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2021-07-02","https://i.scdn.co/image/ab67616d0000b273ec182939cba3386ddcb93069","1","1","244004","https://p.scdn.co/mp3-preview/6fc886275091b4b847766805f680ac73da6f1b62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUM72110166","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:1Xhz3Uqw5JUWzNy9NSJWuY","Grave Bell","spotify:artist:1TpOqFPZPxxeuLHL3oSl2t","Diggy Graves","spotify:album:13nYj3eT7NCNIZxUveLz4f","Grave Bell","spotify:artist:1TpOqFPZPxxeuLHL3oSl2t","Diggy Graves","2024-08-23","https://i.scdn.co/image/ab67616d0000b2731e7c2566d66b5f819eeef3b4","1","1","158161","https://p.scdn.co/mp3-preview/c38502dfa233286df9c5b0ad9633f1974f9c437d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USL4Q2436367","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:7sWRlDoTDX8geTR8zzr2vt","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","1","156266","https://p.scdn.co/mp3-preview/e50a10de5fa1b080975a0f6bfdcd82e0c3b80b52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USUM71915730","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:2bPWwnf6tYPG447hrHKZ9i","Stoned (OTR Remix)","spotify:artist:44XhQBXnAIhby5VC4GRo81, spotify:artist:0oeUdHJ3cy1oveb8WguJJt","Blondage, OTR","spotify:album:25jUvs4N7lqYQw7rt9mm95","Stoned (OTR Remix)","spotify:artist:44XhQBXnAIhby5VC4GRo81, spotify:artist:0oeUdHJ3cy1oveb8WguJJt","Blondage, OTR","2017-08-25","https://i.scdn.co/image/ab67616d0000b2738a8200c9184bccfda7bd8a53","1","1","181500","https://p.scdn.co/mp3-preview/43457e48f1344e0b177d6959b6a8695d34b37871?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","DKPF51502101","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:753lkDSNs2u188xbl8Vrnx","Waiting For Never","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:50MzJhO0pMjTsfpeOmZ1so","Twelve Carat Toothache (Deluxe)","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2022-06-07","https://i.scdn.co/image/ab67616d0000b27349081408213aac8b6e75e016","1","15","196986","https://p.scdn.co/mp3-preview/7c1a34f04f3ebcd9d54ce5f1354b95000d477165?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USUM72210887","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:0VgkVdmE4gld66l8iyGjgx","Mask Off","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","spotify:album:17FBoXK1NU2rvJBbzdzw0r","FUTURE","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","2017-06-30","https://i.scdn.co/image/ab67616d0000b273e0b64c8be3c4e804abcb2696","1","7","204600","https://p.scdn.co/mp3-preview/e0b0055e0d5d4c6513741b840028c0c5579af7f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USSM11701444","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:54JbP4PgOMQGowCbCfjCNA","Float","spotify:artist:5fENlrINIVP0gJOtKxvORt","Call Me Karizma","spotify:album:057yHZleUWDU9CKw9ihU2R","Float","spotify:artist:5fENlrINIVP0gJOtKxvORt","Call Me Karizma","2020-04-24","https://i.scdn.co/image/ab67616d0000b27355dc42b1c7f633524806525a","1","1","169093","https://p.scdn.co/mp3-preview/d9cb585e65d93e5f824175aef7076cebacfb3d37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USQX92000312","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:0gucUyFMFRMlUiVn9US4YX","Losers (Feat. Jelly Roll)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:19k8AgwwTSxeaxkOuCQEJs","Post Malone, Jelly Roll","spotify:album:4BbsHmXEghoPPevQjPnHXx","F-1 Trillion","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2024-08-15","https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0","1","10","209038","https://p.scdn.co/mp3-preview/cc6fcec28a707671406f1ca5292e451fca556d10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM72405599","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:0ToRGhN2XSJ2viXeZh17Y3","Wolves (feat. Post Malone)","spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:246dkjvS1zLTtiykXe5h60","Big Sean, Post Malone","spotify:album:5iJvtKGTQRIo2KL42xS7JX","Detroit 2 (Deluxe)","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","2022-09-19","https://i.scdn.co/image/ab67616d0000b2736bc7f20a88efc5cc056e1195","1","4","199758","https://p.scdn.co/mp3-preview/92dac29304834d377f88e10bed7a3e20cc498d40?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","USUM72016329","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:3tJ4y2Zqx6gM9xOAuFfsSF","Cool Girl","spotify:artist:4NHQUGzhtTLFvgF5SZesLK","Tove Lo","spotify:album:1tuekzsMZQOuiMejKP6t2Y","Lady Wood","spotify:artist:4NHQUGzhtTLFvgF5SZesLK","Tove Lo","2016-10-28","https://i.scdn.co/image/ab67616d0000b2739f0c014998bac13d3181474c","1","5","199179","https://p.scdn.co/mp3-preview/2d7256faacce494471c3bc0991e53fac890416cd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","SEUM71601198","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:09IOPhEh1OMe0HD9b36FJk","Over Now","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","7","246986","https://p.scdn.co/mp3-preview/f30208967d575b93399a456b957cab901cf5a7e0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUM71805169","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
